subgroup,feature,feature_type,dataset_mean_or_mode,candidate_mean_or_mode,dataset_median_or_frequency,candidate_median_or_frequency,difference,enrichment_ratio,standardized_difference,interpretation
existing_low_risk_high_score,bandgap_distance_from_1p7,numeric,0.11908369440454478,0.10697201365187693,0.0999999999999998,0.0999999999999998,-0.012111680752667844,0.898292702344935,-0.1542137821068534,near_dataset_baseline
existing_low_risk_high_score,quenching_binary,boolean,False,True,0.4661546073557477,0.879863481228669,0.41370887387292127,1.8874928346620368,NA,true_ratio_enriched
existing_low_risk_high_score,annealing_energy,numeric,2743.2173892431156,3241.3720136518773,1500.0,3000.0,498.1546244087617,1.181595022823258,0.07942179992891185,near_dataset_baseline
existing_low_risk_high_score,annealing_time_bucket,categorical,short,long,0.4184199985863393,0.3733788395904437,-0.06893194397883079,0.8352565742275175,NA,mode_shifted
existing_low_risk_high_score,annealing_temperature_bucket,categorical,mid,mid,0.5837711754588507,0.595221843003413,0.011450667544562254,1.019614993041686,NA,same_mode
existing_low_risk_high_score,stack_depth_estimate,numeric,8.997445135671782,9.08259385665529,9.0,9.0,0.08514872098350779,1.009463655482146,0.054722253981393444,near_dataset_baseline
existing_low_risk_high_score,device_complexity_score,numeric,8.998431460414167,9.08259385665529,9.0,9.0,0.08416239624112265,1.0093530074226125,0.053941386845898116,near_dataset_baseline
existing_low_risk_high_score,architecture_class,categorical,nip,nip,0.6903376292910491,0.8860068259385665,0.19566919664751736,1.2834398536966067,NA,same_mode
existing_low_risk_high_score,solvent_count,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
existing_low_risk_high_score,process_complexity_score,categorical,Unknown,Unknown,0.9895389110100605,1.0,0.010461088989939471,1.010571680278102,NA,same_mode
existing_low_risk_high_score,composition_complexity_score,numeric,2.832308697770042,4.859906273763286,2.0,4.845418175611982,2.0275975759932443,1.7158815624828008,1.4159192734196273,enriched_above_dataset
perturbation_low_risk_high_score,A_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
perturbation_low_risk_high_score,cation_entropy,numeric,0.1383015671316672,0.2603829614254311,0.0,0.1985152433458726,0.12208139429376391,1.882718806631734,0.4864682843542594,enriched_above_dataset
perturbation_low_risk_high_score,X_site_variance,missing,NA,NA,NA,NA,NA,NA,NA,missing_descriptor
perturbation_low_risk_high_score,bandgap_bucket,categorical,mid,mid,0.6806540536719836,0.7837837837837838,0.10312973011180016,1.1515156334637797,NA,same_mode
perturbation_low_risk_high_score,bandgap_distance_from_1p7,numeric,0.11908369440454478,0.15567567567567558,0.0999999999999998,0.1699999999999999,0.03659198127113081,1.3072795268412019,0.4659128606375497,enriched_above_dataset
perturbation_low_risk_high_score,quenching_binary,categorical,False,False,0.5167872205075041,0.6216216216216216,0.10483440111411746,1.2028579596282707,NA,same_mode
