k,features,cv_r2_mean,cv_r2_std,r2,mae,rmse
7,Perovskite_band_gap | Perovskite_composition_b_ions_coefficients | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_list_of_layers | Perovskite_single_crystal,0.21457412083122288,0.009103835511071882,0.21386392666653664,3.7353030954344626,4.680386362434004
8,Cell_number_of_cells_per_substrate | Outdoor_irradiance_measured | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios | Perovskite_dimension_0D | Perovskite_dimension_list_of_layers | Perovskite_single_crystal,0.21385360986206312,0.01770396404709637,0.262038496085356,3.6392403296538043,4.534711854911839
4,Cell_flexible | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation,0.21351685289410857,0.0036829825083226474,0.22413803046277037,3.7465956029609653,4.649701519839513
8,Cell_number_of_cells_per_substrate | ETL_stack_sequence | Encapsulation | Outdoor_irradiance_measured | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation,0.21301751715466463,0.006846245249129849,0.22993025217703877,3.7156123496047675,4.632312759151893
8,Cell_semitransparent | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_thermal_annealing_time | Perovskite_dimension_2D | Perovskite_dimension_3D_with_2D_capping_layer | Perovskite_single_crystal,0.21272373455647756,0.033129123503128896,0.24947314595933057,3.6727427758309155,4.573155413931186
4,Encapsulation | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_quenching_induced_crystallisation,0.2122070320166185,0.0019228336677805057,0.224130660975283,3.7452069289212204,4.64972360226986
8,Encapsulation | Module | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_solvent_annealing | Perovskite_deposition_thermal_annealing_temperature,0.21162875174653636,0.02206510413847197,0.21649534063163445,3.7403977462227966,4.672546525267775
6,Module_JV_data_recalculated_per_cell | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_long_form | Perovskite_composition_perovskite_ABC3_structure,0.21161987803903134,0.02694564698637938,0.221596951682127,3.7426700697919557,4.657309573785623
6,Add_lay_back | Outdoor_periodic_JV_measurements | Perovskite_band_gap | Perovskite_band_gap_graded | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation,0.21047806684248757,0.017167806499191984,0.18764759856676294,3.8334889925091953,4.757787894577497
6,Module | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure | Perovskite_dimension_2D3D_mixture,0.20978714760742964,0.025484654889254856,0.22286102246516382,3.743264918624865,4.653526468747496
8,Cell_area_total | Cell_flexible | Cell_number_of_cells_per_substrate | Cell_semitransparent | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure,0.20938292973296702,0.022005978860910557,0.22716062161399153,3.730013327546069,4.64063556356632
7,Module | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_long_form | Perovskite_dimension_0D | Perovskite_dimension_2D3D_mixture | Perovskite_dimension_3D,0.20906746872087992,0.027168032821189785,0.21519923794248896,3.763404793504363,4.676409678828391
8,Cell_semitransparent | Perovskite_composition_a_ions_coefficients | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_number_of_deposition_steps | Perovskite_dimension_3D_with_2D_capping_layer | Perovskite_single_crystal,0.20894678967840577,0.015381028398906581,0.21050594945552992,3.7693189500415687,4.690371836732953
7,Add_lay_back | Module_JV_data_recalculated_per_cell | Outdoor_periodic_JV_measurements | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_3D_with_2D_capping_layer,0.20890112415183848,0.008680276783682384,0.19451519818203722,3.8182241554980716,4.73763412069493
8,Backcontact_thickness_list | Outdoor_tested | Perovskite_composition_b_ions_coefficients | Perovskite_composition_c_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_long_form | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_solvent_annealing,0.208761212278209,0.01760846521520624,0.19504732603323893,3.7557525002129726,4.73606894928314
7,Module_JV_data_recalculated_per_cell | Perovskite_band_gap | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_2D3D_mixture | Perovskite_single_crystal,0.20848743786249221,0.015866271277037842,0.20042041579012848,3.79602470014765,4.72023576295397
6,Cell_semitransparent | Perovskite_band_gap_graded | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_2D,0.2082500384863232,0.007470278125339422,0.20400984858438487,3.7979252755772546,4.709628922145053
3,Perovskite_band_gap | Perovskite_composition_leadfree | Perovskite_deposition_solvents_mixing_ratios,0.20814161856481572,0.03010602322143944,0.23230599008625752,3.6984874195555726,4.6251616782471086
7,Add_lay_back | Cell_semitransparent | Outdoor_irradiance_measured | Perovskite_composition_b_ions_coefficients | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_2D3D_mixture,0.2080899509050731,0.003617512836019897,0.21564322726776386,3.736430717488566,4.675086687174303
6,Add_lay_front | Cell_area_total | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation,0.2076266187965363,0.005019555568608075,0.22470626444502906,3.7370717481824576,4.647998509215478
4,Perovskite_composition_b_ions_coefficients | Perovskite_composition_c_ions_coefficients | Perovskite_composition_long_form | Perovskite_deposition_quenching_induced_crystallisation,0.20762211858008459,0.004457301635946824,0.2210719545390124,3.724391375814047,4.658879879870945
7,Add_lay_front | Module_JV_data_recalculated_per_cell | Outdoor_tested | Perovskite_band_gap | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure,0.20708785045150324,0.03836062234535619,0.2143428473828236,3.7551367711739503,4.6789604798421625
8,Add_lay_front | Encapsulation | Perovskite_band_gap | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_quenching_induced_crystallisation,0.20640873208421853,0.019240461270073776,0.20357555577326802,3.7769512636560583,4.7109135354465845
8,Backcontact_thickness_list | Cell_area_total | Module_number_of_cells_in_module | Outdoor_periodic_JV_measurements | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_solvents_mixing_ratios,0.2062499326939183,0.03600692862397361,0.21186955909537564,3.741169123721688,4.6863194943833095
7,Cell_flexible | Cell_semitransparent | Outdoor_tested | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_0D,0.2062206370768291,0.004575055085984337,0.213944270820564,3.7410528061040345,4.680147185461945
8,Cell_area_total | Cell_flexible | Cell_stack_sequence | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_deposition_thermal_annealing_temperature | Perovskite_dimension_2D3D_mixture,0.20596591075534953,0.02458072516296368,0.2075822420904494,3.724491774710799,4.699048660927365
8,Cell_stack_sequence | Module | Outdoor_irradiance_measured | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_thermal_annealing_temperature | Perovskite_dimension_list_of_layers,0.20503209019731186,0.024770867188772985,0.19718680439643432,3.7725929011569606,4.729770778437557
6,Cell_semitransparent | Cell_stack_sequence | Module_JV_data_recalculated_per_cell | Module_number_of_cells_in_module | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation,0.20487217862180332,0.004187642286344106,0.20390997297514968,3.771249465176828,4.7099243795090695
3,Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_long_form,0.2047586234288887,0.026211282943085733,0.21383223492423653,3.7668411721086814,4.680480702401734
8,Outdoor_tested | Perovskite_composition_a_ions_coefficients | Perovskite_composition_b_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_number_of_deposition_steps | Perovskite_dimension_2D | Perovskite_dimension_2D3D_mixture,0.20420132206968422,0.025239711352583724,0.2060693776547674,3.7788622224147645,4.703532175886333
7,Add_lay_front | Cell_semitransparent | Cell_stack_sequence | Module_number_of_cells_in_module | Outdoor_tested | Perovskite_composition_leadfree | Perovskite_deposition_quenching_induced_crystallisation,0.20398956633474655,0.007396090006970287,0.18331155122476006,3.8502590985288045,4.770468683023867
6,Cell_area_total | Module_number_of_cells_in_module | Perovskite_composition_a_ions_coefficients | Perovskite_composition_inorganic | Perovskite_composition_leadfree | Perovskite_dimension_2D3D_mixture,0.2039259898480964,0.02311675488218704,0.21367856360557358,3.7656315208569913,4.680938124168995
6,Cell_flexible | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_0D | Perovskite_dimension_list_of_layers,0.2038570544264857,0.004583202837086281,0.20722309467049704,3.7617664177437273,4.700113414970157
7,Add_lay_front | Cell_flexible | Outdoor_periodic_JV_measurements | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_3D | Perovskite_dimension_3D_with_2D_capping_layer,0.20330236199506455,0.005082108318993917,0.2103657210881742,3.756940441150224,4.690788365509341
6,Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_inspired_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_deposition_solvent_annealing | Perovskite_dimension_0D | Perovskite_single_crystal,0.20317812690306783,0.008136702006697798,0.21014213608090415,3.7584524108789776,4.691452417050721
6,Module_number_of_cells_in_module | Perovskite_composition_leadfree | Perovskite_deposition_number_of_deposition_steps | Perovskite_deposition_solvents_mixing_ratios | Perovskite_dimension_2D | Perovskite_dimension_3D,0.20317457699183217,0.026729035312259952,0.23048036297041974,3.7516653234653314,4.630657882747297
7,Encapsulation | Module | Outdoor_irradiance_measured | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_0D | Perovskite_dimension_3D_with_2D_capping_layer,0.2027116125688215,0.005873943940606755,0.20394457250790665,3.7704585249715623,4.709822027420734
5,Cell_number_of_cells_per_substrate | Module_JV_data_recalculated_per_cell | Perovskite_composition_c_ions_coefficients | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_3D_with_2D_capping_layer,0.20266674981511723,0.006461029532721266,0.20463879064382084,3.773920766224309,4.70776792609303
4,Cell_semitransparent | Perovskite_composition_a_ions_coefficients | Perovskite_composition_leadfree | Perovskite_composition_perovskite_inspired_structure,0.20244547030171234,0.019941362773004467,0.20902989026788876,3.788361399049303,4.694754411547027
7,Add_lay_back | Add_lay_front | Cell_semitransparent | Module_JV_data_recalculated_per_cell | Perovskite_composition_c_ions_coefficients | Perovskite_composition_inorganic | Perovskite_deposition_solvents_mixing_ratios,0.20232947727338924,0.023758660669393094,0.24254993770696742,3.6645751923781824,4.594199450017365
5,Module_JV_data_recalculated_per_cell | Perovskite_composition_c_ions_coefficients | Perovskite_composition_perovskite_ABC3_structure | Perovskite_deposition_quenching_induced_crystallisation | Perovskite_dimension_list_of_layers,0.20230038350126603,0.0063373256394665565,0.2029975965645998,3.7649606546844936,4.712622562645804
